"location_name","parent","latitude","longitude","location_id","level","path_to_top_parent","authority","facility_level","operational_status","organisation_unit_levels","ownership"
"Eremi HC III","aCaPqIkvV2s",3.67363,31.8273,"r7ps4KEp5W9",5,"akV6429SUqu,BD3XaQ7cQAp,W0kQBddyGyh,aCaPqIkvV2s,r7ps4KEp5W9","MOH","HC III","Functional","Health Facilities","GOV"
"Erepi HC II","aCaPqIkvV2s",3.653227,31.765286,"jV5UvqIn4DU",5,"akV6429SUqu,BD3XaQ7cQAp,W0kQBddyGyh,aCaPqIkvV2s,jV5UvqIn4DU","UPMB","HC II","Functional","Health Facilities","PNFP"
"Eria HC III","FH7eT8hveKf",3.64596,31.74861,"FQETWwqB2VJ",5,"akV6429SUqu,BD3XaQ7cQAp,W0kQBddyGyh,FH7eT8hveKf,FQETWwqB2VJ","MOH","HC III","Functional","Health Facilities","GOV"
"Erida Medical Centre HC II","oweSpFBNbmi",NA,NA,"K96UekMro5b",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,oweSpFBNbmi,K96UekMro5b","Private","HC II","Functional","Health Facilities","PFP"
"Ernest Cook Medical Centre","UjUroihV9AC",NA,NA,"VCwniB3nDWm",5,"akV6429SUqu,IEU0FjDAhBP,aIahLLmtvgT,UjUroihV9AC,VCwniB3nDWm","Private","HC II","Non-Functional","Health Facilities","PFP"
"Erussi HC II","afAjPIjW0D3",2.32784,31.09426,"a57EGOXkq38",5,"akV6429SUqu,BD3XaQ7cQAp,Xjc0LDFa5gW,afAjPIjW0D3,a57EGOXkq38","MOH","HC II","Functional","Health Facilities","GOV"
"Erute Prison Health Centre","siFCXpF47oz",NA,NA,"sRjNKfDKtKB",5,"akV6429SUqu,DWPnYhoqza0,ullSvMrkHdi,siFCXpF47oz,sRjNKfDKtKB","UPS","HC II","Functional","Health Facilities","GOV"
"Eseri Dom Clinic HC II","tecfO3gvavj",NA,NA,"idkhOzh2TYJ",5,"akV6429SUqu,Dl9WvtvDs5V,a0DfYpC2Rwl,tecfO3gvavj,idkhOzh2TYJ","UCBHCA","HC II","Functional","Health Facilities","PNFP"
"Essential Care Medical Clinic","aQbUr8vlhmm",NA,NA,"aoFgQb4jPdF",5,"akV6429SUqu,IEU0FjDAhBP,aIahLLmtvgT,aQbUr8vlhmm,aoFgQb4jPdF","Private","HC II","Functional","Health Facilities","PFP"
"Etam HC III","y6lJEw3cXSx",1.662688,32.702308,"r4txax3dzBl",5,"akV6429SUqu,DWPnYhoqza0,ZuQHWOaFQVM,y6lJEw3cXSx,r4txax3dzBl","MOH","HC III","Functional","Health Facilities","GOV"
"Eunice Memorial Medical Centre HC II","vswvzxAfCHh",NA,NA,"ftESLIYkdJi",5,"akV6429SUqu,IEU0FjDAhBP,JrHILmtK0OU,vswvzxAfCHh,ftESLIYkdJi",NA,"HC II","Functional",NA,NA
"Eva Domiciary Clinic HC II","oweSpFBNbmi",NA,NA,"ncJepX1abta",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,oweSpFBNbmi,ncJepX1abta","Private","HC II","Functional","Health Facilities","PFP"
"Eva Domiciliary Clinic HC II","ijcJS6aeDzn",NA,NA,"VOB2uTrIMvs",5,"akV6429SUqu,IEU0FjDAhBP,Ame30QOwuX6,ijcJS6aeDzn,VOB2uTrIMvs","Private","HC II","Functional","Health Facilities","PFP"
"Evarina Childrens Care Clinic HC III","aQbUr8vlhmm",NA,NA,"xyorcphmWmR",5,"akV6429SUqu,IEU0FjDAhBP,aIahLLmtvgT,aQbUr8vlhmm,xyorcphmWmR","Private","HC III","Functional","Health Facilities","PFP"
"Everest Medical Clinic HC II","kKEBeO1LL7S",NA,NA,"rF9AkTpGNzv",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,kKEBeO1LL7S,rF9AkTpGNzv","Private","HC II","Functional","Health Facilities","PFP"
"Ewanga HC III","oSihrX3HDlz",3.17724,31.46479,"ppjhr0L8daE",5,"akV6429SUqu,BD3XaQ7cQAp,bLoH4VbxCGI,oSihrX3HDlz,ppjhr0L8daE","MOH","HC III","Functional","Health Facilities","GOV"
"Excel Medical Center HC II","kKEBeO1LL7S",NA,NA,"L1cVWMETOKe",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,kKEBeO1LL7S,L1cVWMETOKe","Private","HC II","Functional","Health Facilities","PFP"
"Executive Medical Centre HC II","BJc6aAKfEdk",NA,NA,"i9Ss18ciDf0",5,"akV6429SUqu,BD3XaQ7cQAp,iQTVPmAJPkr,BJc6aAKfEdk,i9Ss18ciDf0","Private","HC II","Functional","Health Facilities","PFP"
"Exodus Clinic HC II","FbuhMjEaMXt",NA,NA,"niLDLHpbihH",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,FbuhMjEaMXt,niLDLHpbihH","Private","HC II","Non-Functional","Health Facilities","PFP"
"Exodus HC II","wGT5jjiP2kz",NA,NA,"s6nvpDfR2Vg",5,"akV6429SUqu,SUvODYOcaVf,zNgVoDVPYgD,wGT5jjiP2kz,s6nvpDfR2Vg","Private","HC II","Functional","Health Facilities","PFP"
"Exodus Pysychiatric Clinic HC II","kKEBeO1LL7S",NA,NA,"s0HfXcO5c1M",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,kKEBeO1LL7S,s0HfXcO5c1M","Private","HC II","Functional","Health Facilities","PFP"
"Expro Family Clinic HC III","h7rS7d8M2jI",NA,NA,"MERzfNQszzj",5,"akV6429SUqu,IEU0FjDAhBP,aIahLLmtvgT,h7rS7d8M2jI,MERzfNQszzj","Private","HC III","Non-Functional","Health Facilities","PFP"
"Eyeitu Medical Centre Clinic","wyW0esOM7ZB",NA,NA,"SqeLCXvQf0h",5,"akV6429SUqu,F1o6qBSx783,UaR7OHycj8c,wyW0esOM7ZB,SqeLCXvQf0h","Private","Clinic","Non-Functional","Health Facilities","PFP"
"F.B.K Clinic HC III","z9UtbSArut7",NA,NA,"soboZQtNvkO",5,"akV6429SUqu,IEU0FjDAhBP,aIahLLmtvgT,z9UtbSArut7,soboZQtNvkO","Private","HC III","Functional","Health Facilities","PFP"
"Fair Plus HC II","FbuhMjEaMXt",NA,NA,"Sjt0VYq7zl8",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,FbuhMjEaMXt,Sjt0VYq7zl8","Private","HC II","Non-Functional","Health Facilities","PFP"
"Fairway Drugshop","MhOYaJ7W537",NA,NA,"gl1irSuU7FD",5,"akV6429SUqu,DWPnYhoqza0,xpIFdCMhVHG,MhOYaJ7W537,gl1irSuU7FD","Private","Drug Shop","Functional",NA,"PFP"
"Faith Clinic (Lungujja) HC II","oweSpFBNbmi",NA,NA,"jdIEYtKkrMF",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,oweSpFBNbmi,jdIEYtKkrMF","Private","HC II","Functional","Health Facilities","PFP"
"Faith Clinic (Makindye) HC II","FbuhMjEaMXt",NA,NA,"tq4pwbESl0I",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,FbuhMjEaMXt,tq4pwbESl0I","Private","HC II","Non-Functional","Health Facilities","PFP"
"Faith Community Clinic","APscKx450Qa",NA,NA,"f46tJWJBKJa",5,"akV6429SUqu,DWPnYhoqza0,Y4LV8xqkv6J,APscKx450Qa,f46tJWJBKJa","Private","Drug Shop","Non-Functional",NA,"PFP"
"Faith Daycare Clinic HC II","FbuhMjEaMXt",NA,NA,"qh1OXdNtB6S",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,FbuhMjEaMXt,qh1OXdNtB6S","Private","HC II","Non-Functional","Health Facilities","PFP"
"Faith Dental Services HC II","LYuMx5oPsR5",NA,NA,"GrR8cVKndfZ",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,LYuMx5oPsR5,GrR8cVKndfZ","Private","HC II","Functional","Health Facilities","PFP"
"Faith Healing Center HC II","FbuhMjEaMXt",NA,NA,"STAYnHuIS1m",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,FbuhMjEaMXt,STAYnHuIS1m","Private","HC II","Non-Functional","Health Facilities","PFP"
"Faith Health Care Centre HC III","gAYBU4aipnZ",NA,NA,"tdbMP9y1wyF",5,"akV6429SUqu,IEU0FjDAhBP,aIahLLmtvgT,gAYBU4aipnZ,tdbMP9y1wyF","Private","HC III","Non-Functional","Health Facilities","PFP"
"Faith Medical Center (Kisenyi) HC II","zNdkt1W9dcu",0.354438,32.595157,"b7Y9wRcy6W2",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,zNdkt1W9dcu,b7Y9wRcy6W2","Private","HC II","Functional","Health Facilities","PFP"
"Faith Medical Center (Nsambya) HC II","FbuhMjEaMXt",NA,NA,"faVzytbD7Fb",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,FbuhMjEaMXt,faVzytbD7Fb","Private","HC II","Non-Functional","Health Facilities","PFP"
"Faith Medical Clinic (Kawempe II) HC II","LYuMx5oPsR5",NA,NA,"NNrM5489gf4",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,LYuMx5oPsR5,NNrM5489gf4","Private","HC II","Functional","Health Facilities","PFP"
"Faith Medical Clinic (Makindye I) HC II","FbuhMjEaMXt",NA,NA,"AUnYgvw4Y0u",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,FbuhMjEaMXt,AUnYgvw4Y0u","Private","HC II","Non-Functional","Health Facilities","PFP"
"Faith Memorial Medical Centre HC III","Qplf7b6Ktzu",NA,NA,"zGDu7T0C7e9",5,"akV6429SUqu,IEU0FjDAhBP,aIahLLmtvgT,Qplf7b6Ktzu,zGDu7T0C7e9","Private","HC III","Non-Functional","Health Facilities","PFP"
"Faith Mulira Health Care Centre HC III","oyIJV2TSFLe",NA,NA,"BVulRfStvvn",5,"akV6429SUqu,IEU0FjDAhBP,aIahLLmtvgT,oyIJV2TSFLe,BVulRfStvvn","Private","HC III","Non-Functional","Health Facilities","PFP"
"Faith Orthopedic Clinic HC II","oweSpFBNbmi",NA,NA,"F2hXRn6Ctfr",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,oweSpFBNbmi,F2hXRn6Ctfr","Private","HC II","Functional","Health Facilities","PFP"
"Faith Trinity Medical Clinic","lEUPQBvOtge",NA,NA,"v6j1bfJMsQu",5,"akV6429SUqu,DWPnYhoqza0,xpIFdCMhVHG,lEUPQBvOtge,v6j1bfJMsQu","Private","HC II","Functional","Health Facilities","PFP"
"Falcon Medicare Services HC II","h7rS7d8M2jI",NA,NA,"pTyAADC0eir",5,"akV6429SUqu,IEU0FjDAhBP,aIahLLmtvgT,h7rS7d8M2jI,pTyAADC0eir","Private","HC II","Non-Functional","Health Facilities","PFP"
"Family Care (Katerera) HC II","OArnksuH9WD",NA,NA,"D0C2UTHtTDN",5,"akV6429SUqu,F1o6qBSx783,fS71jg1WYPk,OArnksuH9WD,D0C2UTHtTDN","Private","HC II","Non-Functional","Health Facilities","PFP"
"Family Care Clinic (Kamwokya II) HC II","zNdkt1W9dcu",NA,NA,"E6hJGeDc1Vn",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,zNdkt1W9dcu,E6hJGeDc1Vn","Private","HC II","Functional","Health Facilities","PFP"
"Family Care Clinic (Kibuli) HC II","FbuhMjEaMXt",NA,NA,"lYjkhovWMVH",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,FbuhMjEaMXt,lYjkhovWMVH","Private","HC II","Functional","Health Facilities","PFP"
"Family Care Clinic (Massajja) HC II","MmY9teDWcvb",NA,NA,"qz33RgYgkLa",5,"akV6429SUqu,IEU0FjDAhBP,aIahLLmtvgT,MmY9teDWcvb,qz33RgYgkLa","Private","HC II","Non-Functional","Health Facilities","PFP"
"Family Care Clinic (River) HC II","g4jN39Mu4K8",NA,NA,"Jm4uw0Rnyfm",5,"akV6429SUqu,BD3XaQ7cQAp,iQTVPmAJPkr,g4jN39Mu4K8,Jm4uw0Rnyfm","Private","Clinic","Non-Functional","Health Facilities","PFP"
"Family Care Clinic-Nsambya HC II","FbuhMjEaMXt",NA,NA,"uDg5l6Vu5lK",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,FbuhMjEaMXt,uDg5l6Vu5lK","Private","HC II","Functional","Health Facilities","PFP"
"Family Care Domiciliry HC II","FbuhMjEaMXt",NA,NA,"IKcGdAT6mfq",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,FbuhMjEaMXt,IKcGdAT6mfq","Private","HC II","Non-Functional","Health Facilities","PFP"
"Family Care Hospital","BJc6aAKfEdk",NA,NA,"ANnUPrQGwTy",5,"akV6429SUqu,BD3XaQ7cQAp,iQTVPmAJPkr,BJc6aAKfEdk,ANnUPrQGwTy","Private","Hospital","Non-Functional","Health Facilities","PFP"
"Family Care Hospital","oyIJV2TSFLe",NA,NA,"ezZNOr0FvGV",5,"akV6429SUqu,IEU0FjDAhBP,aIahLLmtvgT,oyIJV2TSFLe,ezZNOr0FvGV","NGO","Hospital","Functional","Health Facilities","PNFP"
"Family Care Medical Centre HC II","LYuMx5oPsR5",NA,NA,"uZT6h3cOG5y",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,LYuMx5oPsR5,uZT6h3cOG5y","CBO","HC II","Functional","Health Facilities","PNFP"
"Family Care Medical Clinic HC II","kKEBeO1LL7S",NA,NA,"gwrHdxBZJa5",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,kKEBeO1LL7S,gwrHdxBZJa5","Private","HC II","Functional","Health Facilities","PFP"
"Family Clinic","eN59rRkxQhi",NA,NA,"ds7wqlsatAp",5,"akV6429SUqu,Dl9WvtvDs5V,ykxQEnZGXkj,eN59rRkxQhi,ds7wqlsatAp","Private","Clinic","Functional","Health Facilities","PFP"
"Family Clinic","K3fBM7akxIM",NA,NA,"ZmVBa8dVAuQ",5,"akV6429SUqu,QBPg7KKCeoA,lkuO79O6mRx,K3fBM7akxIM,ZmVBa8dVAuQ","Private","Clinic","Functional","Health Facilities","PFP"
"Family Clinic (Kisenyi II) HC II","zNdkt1W9dcu",NA,NA,"jIxClnaASJs",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,zNdkt1W9dcu,jIxClnaASJs","Private","HC II","Functional","Health Facilities","PFP"
"Family Clinic (Lungujja) HC II","oweSpFBNbmi",NA,NA,"lmSxoHy5lGN",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,oweSpFBNbmi,lmSxoHy5lGN","Private","HC II","Functional","Health Facilities","PFP"
"Family Clinic and Maternity Kyebando HC II","LYuMx5oPsR5",NA,NA,"m2MJUZQDg5t",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,LYuMx5oPsR5,m2MJUZQDg5t","Private","HC II","Functional","Health Facilities","PFP"
"Family Clinic Lusazze HC II","oweSpFBNbmi",NA,NA,"aftkbrmt8wi",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,oweSpFBNbmi,aftkbrmt8wi","Private","HC II","Functional","Health Facilities","PFP"
"Family Dental Sergery HC II","LYuMx5oPsR5",NA,NA,"Fu81OMI5tOI",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,LYuMx5oPsR5,Fu81OMI5tOI","Private","HC II","Functional","Health Facilities","PFP"
"Family Doctors Clinic (Malaba) HC II","ajaV3Ug1PuP",NA,NA,"GgvAUzfDjlj",5,"akV6429SUqu,QBPg7KKCeoA,KhT80mlwJ3Y,ajaV3Ug1PuP,GgvAUzfDjlj","Private","Clinic","Functional","Health Facilities","PFP"
"Family Doctors Clinic (Ntinda) HC II","kKEBeO1LL7S",NA,NA,"yVehCOuhkpy",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,kKEBeO1LL7S,yVehCOuhkpy","Private","HC II","Functional","Health Facilities","PFP"
"Family Doctors Clinic (Ntungamo) HC II","xR3tMZhXRSG",NA,NA,"urrPQsumgl7",5,"akV6429SUqu,F1o6qBSx783,hAoe9dhZh9V,xR3tMZhXRSG,urrPQsumgl7","Private","Clinic","Functional","Health Facilities","PFP"
"Family Doctors HC II","zNdkt1W9dcu",NA,NA,"EfhBE7BnAYz",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,zNdkt1W9dcu,EfhBE7BnAYz","Private","HC II","Functional","Health Facilities","PFP"
"Family Doctors Medicare Clinic HC II","kKEBeO1LL7S",NA,NA,"Of2X0YyaPVa",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,kKEBeO1LL7S,Of2X0YyaPVa","Private","HC II","Functional","Health Facilities","PFP"
"Family Drug Shop HC II","CfctafkWEHW",NA,NA,"af64XPHH1TF",5,"akV6429SUqu,IEU0FjDAhBP,YMMexeHFUay,CfctafkWEHW,af64XPHH1TF","Private","Drug Shop","Non-Functional","Health Facilities","PFP"
"Family Drugshop","fXF5EXLOSdC",NA,NA,"eQ0W3RN1Vrz",5,"akV6429SUqu,DWPnYhoqza0,JyZJhGXKeEq,fXF5EXLOSdC,eQ0W3RN1Vrz","Private","Drug Shop","Functional",NA,"PFP"
"Family Health Care (Karuma) Clinic","vugdNe0yQNM",NA,NA,"jf2hnREDE96",5,"akV6429SUqu,yx0ieyZNF0l,B0G9cqixld8,vugdNe0yQNM,jf2hnREDE96","Private","Clinic","Functional","Health Facilities","PFP"
"Family Health Care Clinic HC II","a5pj74dBGEp",0.71265,30.06024,"J8JFj65yOB1",5,"akV6429SUqu,JZhJ50nOirX,g8M1cWRJZV6,a5pj74dBGEp,J8JFj65yOB1","Private","HC II","Non-Functional","Health Facilities","PFP"
"Family Health Clinic","ZHfJLqSYMkD",NA,NA,"uweQZg0JVlZ",5,"akV6429SUqu,F1o6qBSx783,r8WLxW9JwsS,ZHfJLqSYMkD,uweQZg0JVlZ","Private","Clinic","Functional","Health Facilities","PFP"
"Family Health Clinic (Bwaise II) HC II","LYuMx5oPsR5",NA,NA,"mDG2r4klFqZ",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,LYuMx5oPsR5,mDG2r4klFqZ","Private","HC II","Functional","Health Facilities","PFP"
"Family Health Clinic (Kiboga) HC II","amqLFDsy2mP",NA,NA,"a6h04I37hOu",5,"akV6429SUqu,Dl9WvtvDs5V,GLHh0BXys9w,amqLFDsy2mP,a6h04I37hOu","Private","HC II","Functional","Health Facilities","PFP"
"Family Health Clinic (Kibuye II) HC II","FbuhMjEaMXt",0.36688,32.609979,"gjNtZX8nfuM",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,FbuhMjEaMXt,gjNtZX8nfuM","Private","HC II","Non-Functional","Health Facilities","PFP"
"Family Health Clinic (Masajja) HC II","MmY9teDWcvb",NA,NA,"aT0kHRzB9Co",5,"akV6429SUqu,IEU0FjDAhBP,aIahLLmtvgT,MmY9teDWcvb,aT0kHRzB9Co","Private","HC II","Non-Functional","Health Facilities","PFP"
"Family Health Clinic and Laboratory Services HC II","LYuMx5oPsR5",NA,NA,"G5RskJ5VtFd",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,LYuMx5oPsR5,G5RskJ5VtFd","Private","HC II","Functional","Health Facilities","PFP"
"Family Health Resource Centre Clinic","O3kEMiNyC7J",NA,NA,"sIXMnx11pLV",5,"akV6429SUqu,F1o6qBSx783,qf9xWZu7Dq8,O3kEMiNyC7J,sIXMnx11pLV","Private","Clinic","Functional","Health Facilities","PFP"
"Family Hope Center Jinja Special Clinic","dIryCQvB5SO",NA,NA,"aNxk6ghyV8u",5,"akV6429SUqu,Wd1lV9Qdj4o,wRApaxY2zJf,dIryCQvB5SO,aNxk6ghyV8u","CAF",NA,"Functional","Health Facilities","PNFP"
"Family Hope Centre Kampala Special Clinic","kKEBeO1LL7S",NA,NA,"X0giNVjxX76",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,kKEBeO1LL7S,X0giNVjxX76","CAF",NA,"Functional","Health Facilities","PNFP"
"Family Hope Medical Centre (Bwaise III) HC II","LYuMx5oPsR5",NA,NA,"WZyfutAbi11",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,LYuMx5oPsR5,WZyfutAbi11","Private","HC II","Functional","Health Facilities","PFP"
"Family Hope Medical Centre (Nabweru) HC III","Qplf7b6Ktzu",NA,NA,"qFakUoaVUWg",5,"akV6429SUqu,IEU0FjDAhBP,aIahLLmtvgT,Qplf7b6Ktzu,qFakUoaVUWg","Private","HC III","Non-Functional","Health Facilities","PFP"
"Family Medicare Clinic","h7rS7d8M2jI",NA,NA,"p4QSmjklO4k",5,"akV6429SUqu,IEU0FjDAhBP,aIahLLmtvgT,h7rS7d8M2jI,p4QSmjklO4k","Private","HC II","Functional","Health Facilities","PFP"
"Family Medicine Center HC II","FbuhMjEaMXt",NA,NA,"CKiU8cSQz8W",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,FbuhMjEaMXt,CKiU8cSQz8W","Private","HC II","Non-Functional","Health Facilities","PFP"
"Family Nursing Home HC III","C4Gn1IRKEmg",0.9424,33.12439,"lCNjvOwBgzK",5,"akV6429SUqu,Wd1lV9Qdj4o,oyygQ2STBST,C4Gn1IRKEmg,lCNjvOwBgzK","Private","HC III","Functional","Health Facilities","PFP"
"Family Ortho Clinic Entre II","MmY9teDWcvb",NA,NA,"cmznNw9rCGc",5,"akV6429SUqu,IEU0FjDAhBP,aIahLLmtvgT,MmY9teDWcvb,cmznNw9rCGc","Private","HC II","Functional","Health Facilities","PFP"
"Family Ortho Clinic HC II","Qplf7b6Ktzu",NA,NA,"k407CKfDZb6",5,"akV6429SUqu,IEU0FjDAhBP,aIahLLmtvgT,Qplf7b6Ktzu,k407CKfDZb6","Private","HC II","Non-Functional","Health Facilities","PFP"
"Family Planning Association Clinic","k7Wgi7O0JdY",NA,NA,"J3FoIFsEDqU",5,"akV6429SUqu,F1o6qBSx783,W7kX446X8Jn,k7Wgi7O0JdY,J3FoIFsEDqU","Private","Clinic","Functional","Health Facilities","PNFP"
"Fargie Genaal Clinic HC II","FbuhMjEaMXt",NA,NA,"ias9551Jt9N",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,FbuhMjEaMXt,ias9551Jt9N","Private","HC II","Non-Functional","Health Facilities","PFP"
"Farsham Medical Centre HC II","kKEBeO1LL7S",NA,NA,"IOLYkt4sIA8",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,kKEBeO1LL7S,IOLYkt4sIA8","Private","HC II","Functional","Health Facilities","PFP"
"Fast Line Cinic Clinic","octvVWkJRun",NA,NA,"dyD1iVotBI3",5,"akV6429SUqu,Wd1lV9Qdj4o,gUaoj8Geuao,octvVWkJRun,dyD1iVotBI3","Private","Clinic","Functional","Health Facilities","PFP"
"Fat Clinic HC II","oweSpFBNbmi",NA,NA,"yehYIdS1v5P",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,oweSpFBNbmi,yehYIdS1v5P","Private","HC II","Functional","Health Facilities","PFP"
"Fati Clinic HC II","zNdkt1W9dcu",NA,NA,"sa5qeUY8oB8",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,zNdkt1W9dcu,sa5qeUY8oB8","Private","HC II","Functional","Health Facilities","PFP"
"Favor Medical Clinic","JcsfCF2khnK",NA,NA,"H3RK9ieKcCY",5,"akV6429SUqu,DWPnYhoqza0,xpIFdCMhVHG,JcsfCF2khnK,H3RK9ieKcCY","Private","Drug Shop","Functional",NA,"PFP"
"Favour Drugshop","APscKx450Qa",NA,NA,"IlVZ1hZeSyv",5,"akV6429SUqu,DWPnYhoqza0,Y4LV8xqkv6J,APscKx450Qa,IlVZ1hZeSyv","Private","Drug Shop","Functional",NA,"PFP"
"Favour Medcare HC II","FbuhMjEaMXt",NA,NA,"E325nwvUOOq",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,FbuhMjEaMXt,E325nwvUOOq","Private","HC II","Non-Functional","Health Facilities","PFP"
"Fellowship Medical Centre HC III","C4Gn1IRKEmg",0.94423,33.12633,"avKz7P8ctz4",5,"akV6429SUqu,Wd1lV9Qdj4o,oyygQ2STBST,C4Gn1IRKEmg,avKz7P8ctz4","CBO","HC III","Functional","Health Facilities","PNFP"
"Fellowship Medical Clinic HC II","CDtQkwtnyAH",NA,NA,"ermL6NuOcmE",5,"akV6429SUqu,Dl9WvtvDs5V,ykxQEnZGXkj,CDtQkwtnyAH,ermL6NuOcmE","Private","HC II","Functional","Health Facilities","PFP"
"Fertility Endoscopy Clinic HC II","zNdkt1W9dcu",NA,NA,"ZSq8nAm6U1v",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,zNdkt1W9dcu,ZSq8nAm6U1v","Private","HC II","Functional","Health Facilities","PFP"
"Fervid Mediacl Care HC II","FbuhMjEaMXt",NA,NA,"nKXskJWw49S",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,FbuhMjEaMXt,nKXskJWw49S","Private","HC II","Non-Functional","Health Facilities","PFP"
"Fiath Heals Clinic HC II","LYuMx5oPsR5",NA,NA,"mucxKATokCm",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,LYuMx5oPsR5,mucxKATokCm","Private","HC II","Functional","Health Facilities","PFP"
"Fiduga HC III","JN43iMJuuu0",NA,NA,"VFy5xbPCzU3",5,"akV6429SUqu,IEU0FjDAhBP,YMMexeHFUay,JN43iMJuuu0,VFy5xbPCzU3","Private","HC III","Functional","Health Facilities","PFP"
"Fimrc HC III","kyxrbibVFRB",NA,NA,"hwoDPTdbx6d",5,"akV6429SUqu,Dt6qdenPX1E,AhwgeZQYj16,kyxrbibVFRB,hwoDPTdbx6d","NGO","HC III","Functional","Health Facilities","PNFP"
"Fiona Clinic (Nakawa) HC II","kKEBeO1LL7S",NA,NA,"sQ0w6NDpCOo",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,kKEBeO1LL7S,sQ0w6NDpCOo","Private","HC II","Non-Functional","Health Facilities","PFP"
"Fiona Maternity Home HC II","FbuhMjEaMXt",NA,NA,"mRFF6tYHeES",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,FbuhMjEaMXt,mRFF6tYHeES","Private","HC II","Functional","Health Facilities","PFP"
"Fire Prevention and Rescue Services Clinic HC II","zNdkt1W9dcu",NA,NA,"kcN9QDE04TK",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,zNdkt1W9dcu,kcN9QDE04TK","UPF","HC II","Functional","Health Facilities","GOV"
"First Line Medical Centre HC II","LYuMx5oPsR5",NA,NA,"ZVNoBlgiEBe",5,"akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,LYuMx5oPsR5,ZVNoBlgiEBe","Private","HC II","Functional","Health Facilities","PFP"
"Fitzmann Medical and Dental Clinic","LllQ7wFfkGG",NA,NA,"aLYCBzAcgPU",5,"akV6429SUqu,SUvODYOcaVf,szlrGpmFlu9,LllQ7wFfkGG,aLYCBzAcgPU","Private","Clinic","Functional","Health Facilities","PFP"
"Flama HC II","Ed2uyXvmovM",NA,NA,"JzFXi2QJM1b",5,"akV6429SUqu,SUvODYOcaVf,zNgVoDVPYgD,Ed2uyXvmovM,JzFXi2QJM1b","Private","HC II","Functional","Health Facilities","PFP"
"Flama Uganda","doqbXRMc7VZ",NA,NA,"UUxtPvznkZX",5,"akV6429SUqu,SUvODYOcaVf,S5fvUXgY54J,doqbXRMc7VZ,UUxtPvznkZX","Private","Clinic","Non-Functional","Health Facilities","PFP"
